target_gene	probe_count	annotated_ensembl_isoform_count	matched_probe_count	unmatched_probe_count	hit_isoform_count	hit_isoforms	common_to_all_probes_count	common_to_all_probes	distinct_probe_isoform_sets	classification
BEST1	5	12	5	0	10	ENST00000378043.9,ENST00000449131.6,ENST00000524877.5,ENST00000524926.5,ENST00000526988.1,ENST00000534553.5,ENST00001007536.1,ENST00001117146.1,ENST00001117147.1,ENST00001142857.1	9	ENST00000378043.9,ENST00000449131.6,ENST00000524877.5,ENST00000524926.5,ENST00000534553.5,ENST00001007536.1,ENST00001117146.1,ENST00001117147.1,ENST00001142857.1	2	multiple_isoforms_differential_probe_coverage
BGN	5	31	5	0	31	ENST00000331595.9,ENST00000431891.1,ENST00000472615.5,ENST00000480756.1,ENST00000492658.1,ENST00000859723.1,ENST00000859724.2,ENST00000859725.2,ENST00000859726.1,ENST00000859727.1,ENST00000859728.1,ENST00000859729.2,ENST00000859730.2,ENST00000859731.2,ENST00000859732.2,ENST00000859733.2,ENST00000859734.1,ENST00000859735.1,ENST00000859736.1,ENST00000859737.2,ENST00000859738.2,ENST00000859739.2,ENST00000859740.2,ENST00000859741.1,ENST00000971803.2,ENST00000971804.2,ENST00000993529.1,ENST00001038514.1,ENST00001038516.1,ENST00001126383.1,ENST00001132843.1	26	ENST00000331595.9,ENST00000472615.5,ENST00000859723.1,ENST00000859724.2,ENST00000859725.2,ENST00000859726.1,ENST00000859727.1,ENST00000859728.1,ENST00000859729.2,ENST00000859730.2,ENST00000859731.2,ENST00000859733.2,ENST00000859734.1,ENST00000859735.1,ENST00000859736.1,ENST00000859737.2,ENST00000859738.2,ENST00000859739.2,ENST00000859740.2,ENST00000859741.1,ENST00000971803.2,ENST00000971804.2,ENST00000993529.1,ENST00001038514.1,ENST00001038516.1,ENST00001132843.1	5	multiple_isoforms_differential_probe_coverage
BID	5	31	5	0	29	ENST00000317361.11,ENST00000342111.9,ENST00000399765.6,ENST00000399767.7,ENST00000473439.5,ENST00000494097.5,ENST00000550946.5,ENST00000551952.6,ENST00000614949.5,ENST00000622694.5,ENST00000890844.2,ENST00000890845.2,ENST00000890846.2,ENST00000890847.2,ENST00000890848.2,ENST00000890849.2,ENST00000890850.2,ENST00000890851.2,ENST00000890852.2,ENST00000890853.2,ENST00000890854.2,ENST00000890855.2,ENST00000890856.2,ENST00000931697.2,ENST00000931698.2,ENST00000951445.2,ENST00000951446.2,ENST00000988200.1,ENST00001062318.1	25	ENST00000317361.11,ENST00000399765.6,ENST00000399767.7,ENST00000551952.6,ENST00000614949.5,ENST00000622694.5,ENST00000890844.2,ENST00000890845.2,ENST00000890846.2,ENST00000890847.2,ENST00000890848.2,ENST00000890849.2,ENST00000890850.2,ENST00000890851.2,ENST00000890852.2,ENST00000890853.2,ENST00000890854.2,ENST00000890855.2,ENST00000890856.2,ENST00000931697.2,ENST00000931698.2,ENST00000951445.2,ENST00000951446.2,ENST00000988200.1,ENST00001062318.1	2	multiple_isoforms_differential_probe_coverage
BIRC5	5	19	5	0	19	ENST00000301633.8,ENST00000350051.8,ENST00000374948.7,ENST00000586192.5,ENST00000587746.5,ENST00000589892.1,ENST00000590449.2,ENST00000590925.6,ENST00000591800.1,ENST00000592115.5,ENST00000592734.5,ENST00000917427.2,ENST00001061874.1,ENST00001061875.1,ENST00001061877.1,ENST00001061878.1,ENST00001061880.1,ENST00001061881.1,ENST00001138732.1	10	ENST00000301633.8,ENST00000350051.8,ENST00000374948.7,ENST00000917427.2,ENST00001061874.1,ENST00001061875.1,ENST00001061877.1,ENST00001061878.1,ENST00001061880.1,ENST00001138732.1	4	multiple_isoforms_differential_probe_coverage
BMP1	5	28	5	0	23	ENST00000306349.13,ENST00000306385.10,ENST00000354870.5,ENST00000471755.5,ENST00000483364.5,ENST00000517324.5,ENST00000518913.5,ENST00000520626.6,ENST00000520970.5,ENST00000520982.5,ENST00000521385.5,ENST00000523457.5,ENST00000523749.5,ENST00000988789.1,ENST00000988790.1,ENST00001026758.1,ENST00001026759.1,ENST00001026760.1,ENST00001026762.1,ENST00001026763.1,ENST00001120963.1,ENST00001133279.1,ENST00001133280.1	18	ENST00000306349.13,ENST00000306385.10,ENST00000354870.5,ENST00000471755.5,ENST00000483364.5,ENST00000518913.5,ENST00000520626.6,ENST00000520970.5,ENST00000520982.5,ENST00000521385.5,ENST00000988789.1,ENST00000988790.1,ENST00001026758.1,ENST00001026759.1,ENST00001026762.1,ENST00001120963.1,ENST00001133279.1,ENST00001133280.1	5	multiple_isoforms_differential_probe_coverage
BMP2	5	6	5	0	6	ENST00000378827.5,ENST00000936876.2,ENST00000953442.2,ENST00000953443.2,ENST00001126234.1,ENST00001132771.1	6	ENST00000378827.5,ENST00000936876.2,ENST00000953442.2,ENST00000953443.2,ENST00001126234.1,ENST00001132771.1	1	multiple_isoforms_same_probe_coverage
BMP3	5	3	5	0	3	ENST00000282701.4,ENST00000909109.2,ENST00001134491.1	3	ENST00000282701.4,ENST00000909109.2,ENST00001134491.1	1	multiple_isoforms_same_probe_coverage
BMP4	5	29	5	0	27	ENST00000245451.9,ENST00000417573.5,ENST00000558961.1,ENST00000558984.2,ENST00000559087.6,ENST00000559501.1,ENST00000559642.1,ENST00000890805.2,ENST00000890806.2,ENST00000890807.1,ENST00000890808.2,ENST00000890809.1,ENST00000890810.1,ENST00000890811.1,ENST00000890812.1,ENST00000939836.2,ENST00000939837.1,ENST00000939838.1,ENST00000939839.1,ENST00000939840.1,ENST00000939841.2,ENST00000951376.1,ENST00001049235.1,ENST00001107398.1,ENST00001107399.1,ENST00001107400.1,ENST00001135440.1	21	ENST00000245451.9,ENST00000417573.5,ENST00000558984.2,ENST00000559087.6,ENST00000890805.2,ENST00000890806.2,ENST00000890807.1,ENST00000890808.2,ENST00000890809.1,ENST00000890810.1,ENST00000890811.1,ENST00000890812.1,ENST00000939836.2,ENST00000939837.1,ENST00000939838.1,ENST00000939839.1,ENST00000939840.1,ENST00000939841.2,ENST00000951376.1,ENST00001049235.1,ENST00001135440.1	5	multiple_isoforms_differential_probe_coverage
BMP5	5	6	5	0	6	ENST00000370830.4,ENST00000901523.1,ENST00000977175.1,ENST00000977176.1,ENST00000977177.1,ENST00001136540.1	6	ENST00000370830.4,ENST00000901523.1,ENST00000977175.1,ENST00000977176.1,ENST00000977177.1,ENST00001136540.1	1	multiple_isoforms_same_probe_coverage
BMP6	5	6	5	0	6	ENST00000283147.7,ENST00000946083.2,ENST00001041917.1,ENST00001041918.1,ENST00001124916.1,ENST00001141307.1	5	ENST00000283147.7,ENST00000946083.2,ENST00001041917.1,ENST00001041918.1,ENST00001141307.1	2	multiple_isoforms_differential_probe_coverage
BMP7	5	13	5	0	11	ENST00000395863.8,ENST00000395864.8,ENST00000433911.1,ENST00000450594.7,ENST00000460817.5,ENST00000476877.1,ENST00000530870.1,ENST00001017319.1,ENST00001017320.1,ENST00001017321.1,ENST00001133256.1	4	ENST00000395863.8,ENST00000395864.8,ENST00001017319.1,ENST00001133256.1	5	multiple_isoforms_differential_probe_coverage
BMPR1A	5	56	5	0	56	ENST00000372037.8,ENST00000480152.4,ENST00000635816.2,ENST00000636056.2,ENST00000638429.1,ENST00000713669.2,ENST00000713670.2,ENST00000713671.1,ENST00000713672.2,ENST00000713673.1,ENST00000713674.1,ENST00000713675.2,ENST00000883496.2,ENST00000883497.2,ENST00000883498.2,ENST00000883499.2,ENST00000883500.2,ENST00000883501.2,ENST00000883502.2,ENST00000883503.2,ENST00000926283.2,ENST00000926284.2,ENST00000926285.2,ENST00000926286.2,ENST00000926287.2,ENST00000926288.2,ENST00000926289.2,ENST00000926290.2,ENST00000926291.2,ENST00000926292.2,ENST00000926293.2,ENST00000943087.2,ENST00000943088.2,ENST00000943089.2,ENST00000943090.2,ENST00000943091.2,ENST00000943092.2,ENST00000943093.2,ENST00000943094.2,ENST00000943095.2,ENST00000943096.2,ENST00000974658.1,ENST00000974659.1,ENST00001048486.1,ENST00001048487.1,ENST00001048488.1,ENST00001048489.1,ENST00001048490.1,ENST00001048492.1,ENST00001068653.1,ENST00001107175.1,ENST00001107176.1,ENST00001107177.1,ENST00001113198.1,ENST00001128135.1,ENST00001138242.1	49	ENST00000372037.8,ENST00000480152.4,ENST00000635816.2,ENST00000636056.2,ENST00000638429.1,ENST00000713671.1,ENST00000713672.2,ENST00000713674.1,ENST00000713675.2,ENST00000883496.2,ENST00000883497.2,ENST00000883498.2,ENST00000883499.2,ENST00000883500.2,ENST00000883501.2,ENST00000883502.2,ENST00000883503.2,ENST00000926283.2,ENST00000926284.2,ENST00000926285.2,ENST00000926286.2,ENST00000926287.2,ENST00000926288.2,ENST00000926289.2,ENST00000926290.2,ENST00000926291.2,ENST00000926292.2,ENST00000926293.2,ENST00000943087.2,ENST00000943088.2,ENST00000943089.2,ENST00000943090.2,ENST00000943091.2,ENST00000943092.2,ENST00000943093.2,ENST00000943094.2,ENST00000943095.2,ENST00000943096.2,ENST00000974658.1,ENST00000974659.1,ENST00001048486.1,ENST00001048487.1,ENST00001048488.1,ENST00001048489.1,ENST00001048490.1,ENST00001048492.1,ENST00001068653.1,ENST00001128135.1,ENST00001138242.1	3	multiple_isoforms_differential_probe_coverage
BMPR2	5	13	5	0	12	ENST00000374574.3,ENST00000374580.10,ENST00000479069.1,ENST00001005944.1,ENST00001005945.1,ENST00001015742.1,ENST00001015743.1,ENST00001110656.1,ENST00001110657.1,ENST00001117075.1,ENST00001117076.1,ENST00001145332.1	5	ENST00000374580.10,ENST00001005945.1,ENST00001015743.1,ENST00001117075.1,ENST00001145332.1	5	multiple_isoforms_differential_probe_coverage
BMX	5	10	5	0	9	ENST00000342014.7,ENST00000348343.11,ENST00000357607.6,ENST00000463891.1,ENST00000867197.2,ENST00000867198.2,ENST00000942875.2,ENST00000942876.2,ENST00001133824.1	7	ENST00000342014.7,ENST00000348343.11,ENST00000357607.6,ENST00000867197.2,ENST00000942875.2,ENST00000942876.2,ENST00001133824.1	3	multiple_isoforms_differential_probe_coverage
BRCA1	5	59	5	0	54	ENST00000352993.8,ENST00000354071.8,ENST00000357654.9,ENST00000461221.5,ENST00000461574.3,ENST00000461798.5,ENST00000468300.6,ENST00000470026.7,ENST00000471181.8,ENST00000473961.7,ENST00000476777.7,ENST00000477152.7,ENST00000478531.7,ENST00000484087.7,ENST00000489037.3,ENST00000491747.6,ENST00000492859.5,ENST00000493795.6,ENST00000493919.7,ENST00000494123.7,ENST00000497488.3,ENST00000586385.6,ENST00000591534.6,ENST00000591849.6,ENST00000618469.3,ENST00000634433.3,ENST00000642945.1,ENST00000644379.3,ENST00000644555.3,ENST00000652672.3,ENST00000700081.1,ENST00000700082.1,ENST00000700182.1,ENST00000700183.1,ENST00000700184.1,ENST00000713676.2,ENST00000899954.2,ENST00000921914.1,ENST00000921915.2,ENST00000921916.2,ENST00000945268.2,ENST00000945269.2,ENST00001010568.1,ENST00001010569.1,ENST00001010570.1,ENST00001076718.1,ENST00001076719.1,ENST00001076720.1,ENST00001076721.1,ENST00001076722.1,ENST00001076723.1,ENST00001076724.1,ENST00001076725.1,ENST00001136804.1	38	ENST00000352993.8,ENST00000357654.9,ENST00000461221.5,ENST00000461574.3,ENST00000468300.6,ENST00000470026.7,ENST00000471181.8,ENST00000473961.7,ENST00000476777.7,ENST00000478531.7,ENST00000484087.7,ENST00000491747.6,ENST00000493795.6,ENST00000493919.7,ENST00000494123.7,ENST00000618469.3,ENST00000634433.3,ENST00000644379.3,ENST00000644555.3,ENST00000652672.3,ENST00000713676.2,ENST00000899954.2,ENST00000921914.1,ENST00000921915.2,ENST00000921916.2,ENST00000945268.2,ENST00000945269.2,ENST00001010568.1,ENST00001010569.1,ENST00001076718.1,ENST00001076719.1,ENST00001076720.1,ENST00001076721.1,ENST00001076722.1,ENST00001076723.1,ENST00001076724.1,ENST00001076725.1,ENST00001136804.1	5	multiple_isoforms_differential_probe_coverage
BST1	5	15	5	0	15	ENST00000265016.9,ENST00000382346.8,ENST00000505785.5,ENST00000514445.5,ENST00000514989.1,ENST00000850863.1,ENST00000897441.2,ENST00000944759.2,ENST00000983024.1,ENST00000983025.1,ENST00001021593.1,ENST00001096064.1,ENST00001125346.1,ENST00001125347.1,ENST00001125348.1	10	ENST00000265016.9,ENST00000382346.8,ENST00000850863.1,ENST00000944759.2,ENST00000983025.1,ENST00001021593.1,ENST00001096064.1,ENST00001125346.1,ENST00001125347.1,ENST00001125348.1	5	multiple_isoforms_differential_probe_coverage
BST2	5	18	5	0	18	ENST00000252593.7,ENST00000527220.2,ENST00000533098.5,ENST00000860181.2,ENST00000860182.2,ENST00000860183.2,ENST00000860184.2,ENST00000860185.2,ENST00000860186.2,ENST00000982416.1,ENST00000982417.1,ENST00000982418.1,ENST00001010764.1,ENST00001100483.1,ENST00001118800.1,ENST00001128046.1,ENST00001131149.1,ENST00001141971.1	15	ENST00000252593.7,ENST00000860181.2,ENST00000860182.2,ENST00000860183.2,ENST00000860184.2,ENST00000860185.2,ENST00000860186.2,ENST00000982416.1,ENST00000982417.1,ENST00000982418.1,ENST00001010764.1,ENST00001100483.1,ENST00001118800.1,ENST00001128046.1,ENST00001141971.1	4	multiple_isoforms_differential_probe_coverage
BTG1	5	5	5	0	5	ENST00000256015.5,ENST00000552315.1,ENST00000673901.1,ENST00001099348.1,ENST00001118583.1	1	ENST00000256015.5	4	multiple_isoforms_differential_probe_coverage
BTK	5	39	5	0	36	ENST00000308731.8,ENST00000464006.2,ENST00000464567.1,ENST00000470069.1,ENST00000478995.2,ENST00000488970.2,ENST00000621635.5,ENST00000695614.1,ENST00000695615.1,ENST00000695616.1,ENST00000695617.1,ENST00000695618.1,ENST00000695619.1,ENST00000695620.1,ENST00000695621.1,ENST00000695622.2,ENST00000695623.2,ENST00000695624.1,ENST00000695625.2,ENST00000695626.1,ENST00000695627.1,ENST00000695628.1,ENST00000695629.1,ENST00000695630.1,ENST00000695632.1,ENST00000695633.1,ENST00000695643.1,ENST00000703407.2,ENST00000896540.2,ENST00000914420.2,ENST00000944955.2,ENST00000944956.2,ENST00000944957.2,ENST00000944958.2,ENST00001033630.1,ENST00001132204.1	24	ENST00000308731.8,ENST00000478995.2,ENST00000488970.2,ENST00000621635.5,ENST00000695614.1,ENST00000695615.1,ENST00000695616.1,ENST00000695617.1,ENST00000695618.1,ENST00000695619.1,ENST00000695620.1,ENST00000695621.1,ENST00000695622.2,ENST00000695623.2,ENST00000695625.2,ENST00000703407.2,ENST00000896540.2,ENST00000914420.2,ENST00000944955.2,ENST00000944956.2,ENST00000944957.2,ENST00000944958.2,ENST00001033630.1,ENST00001132204.1	4	multiple_isoforms_differential_probe_coverage
C11orf96	5	1	5	0	1	ENST00000617612.3	1	ENST00000617612.3	1	single_isoform
C1QA	5	23	5	0	23	ENST00000374642.8,ENST00000402322.3,ENST00000438241.3,ENST00000695738.2,ENST00000695739.1,ENST00000695740.2,ENST00000695741.2,ENST00000695742.2,ENST00000695743.2,ENST00000695744.2,ENST00000695745.1,ENST00000695746.1,ENST00000882020.2,ENST00000882021.2,ENST00000882022.2,ENST00000882023.2,ENST00000882024.2,ENST00000882025.2,ENST00000965381.2,ENST00000965382.2,ENST00001097247.1,ENST00001097248.1,ENST00001145911.1	21	ENST00000374642.8,ENST00000402322.3,ENST00000438241.3,ENST00000695739.1,ENST00000695740.2,ENST00000695741.2,ENST00000695742.2,ENST00000695743.2,ENST00000695744.2,ENST00000695746.1,ENST00000882020.2,ENST00000882021.2,ENST00000882022.2,ENST00000882023.2,ENST00000882024.2,ENST00000882025.2,ENST00000965381.2,ENST00000965382.2,ENST00001097247.1,ENST00001097248.1,ENST00001145911.1	2	multiple_isoforms_differential_probe_coverage
C1QB	5	22	5	0	22	ENST00000432749.6,ENST00000509305.6,ENST00000510260.5,ENST00000695754.2,ENST00000695755.2,ENST00000695756.2,ENST00000695757.2,ENST00000695758.2,ENST00000695759.2,ENST00000695760.2,ENST00000695761.2,ENST00000695762.2,ENST00000695763.2,ENST00000897310.2,ENST00000897311.2,ENST00000897312.2,ENST00000897313.2,ENST00000897314.2,ENST00000952201.2,ENST00000952202.2,ENST00000952203.2,ENST00001142634.1	18	ENST00000509305.6,ENST00000695754.2,ENST00000695755.2,ENST00000695756.2,ENST00000695757.2,ENST00000695758.2,ENST00000695759.2,ENST00000695760.2,ENST00000695761.2,ENST00000695762.2,ENST00000695763.2,ENST00000897310.2,ENST00000897312.2,ENST00000897313.2,ENST00000897314.2,ENST00000952201.2,ENST00000952203.2,ENST00001142634.1	4	multiple_isoforms_differential_probe_coverage
C1QC	5	12	5	0	12	ENST00000374637.2,ENST00000374639.8,ENST00000374640.9,ENST00000695749.2,ENST00000695750.1,ENST00000695751.2,ENST00000695752.2,ENST00000695753.2,ENST00000867664.2,ENST00000867665.2,ENST00000968848.2,ENST00001145803.1	11	ENST00000374637.2,ENST00000374639.8,ENST00000374640.9,ENST00000695749.2,ENST00000695750.1,ENST00000695751.2,ENST00000695752.2,ENST00000867664.2,ENST00000867665.2,ENST00000968848.2,ENST00001145803.1	2	multiple_isoforms_differential_probe_coverage
C5AR2	5	4	5	0	4	ENST00000595464.3,ENST00000600626.2,ENST00000874258.2,ENST00001135025.1	4	ENST00000595464.3,ENST00000600626.2,ENST00000874258.2,ENST00001135025.1	1	multiple_isoforms_same_probe_coverage
C9orf16	5	8	5	0	8	ENST00000372994.2,ENST00000486420.1,ENST00000489240.1,ENST00000492588.1,ENST00001032476.1,ENST00001032477.1,ENST00001101141.1,ENST00001137317.1	5	ENST00000372994.2,ENST00001032476.1,ENST00001032477.1,ENST00001101141.1,ENST00001137317.1	4	multiple_isoforms_differential_probe_coverage
CALB1	5	16	5	0	15	ENST00000265431.7,ENST00000469032.1,ENST00000473670.1,ENST00000476853.1,ENST00000482702.5,ENST00000497376.1,ENST00000514406.2,ENST00000518457.6,ENST00000520613.5,ENST00000523716.5,ENST00000892430.2,ENST00000892431.2,ENST00000920117.2,ENST00000990122.1,ENST00001085133.1	4	ENST00000265431.7,ENST00000892430.2,ENST00000920117.2,ENST00000990122.1	5	multiple_isoforms_differential_probe_coverage
CALD1	5	74	5	0	67	ENST00000361675.7,ENST00000361901.7,ENST00000393118.7,ENST00000417172.5,ENST00000422748.6,ENST00000424922.5,ENST00000430085.5,ENST00000435928.1,ENST00000436461.6,ENST00000443197.5,ENST00000445569.6,ENST00000454108.5,ENST00000466704.1,ENST00000473714.1,ENST00000482470.5,ENST00000495522.1,ENST00000496024.1,ENST00000866419.2,ENST00000866420.2,ENST00000866421.2,ENST00000866422.2,ENST00000866423.2,ENST00000866424.2,ENST00000866425.2,ENST00000866426.2,ENST00000866427.2,ENST00000866428.1,ENST00000927566.2,ENST00000927567.2,ENST00000927568.2,ENST00000927569.2,ENST00000927570.2,ENST00000927571.2,ENST00000927572.2,ENST00000927573.2,ENST00000972406.2,ENST00000972407.2,ENST00000972408.2,ENST00000972409.2,ENST00000972410.2,ENST00000972411.2,ENST00000972412.2,ENST00000972413.2,ENST00000972414.2,ENST00000972415.2,ENST00000972416.2,ENST00000972417.2,ENST00000972418.2,ENST00000972419.2,ENST00000972420.2,ENST00000972421.2,ENST00000972422.2,ENST00000972423.1,ENST00001014518.1,ENST00001014519.1,ENST00001014520.1,ENST00001014521.1,ENST00001014522.1,ENST00001014523.1,ENST00001014524.1,ENST00001014525.1,ENST00001069470.1,ENST00001069471.1,ENST00001069472.1,ENST00001069473.1,ENST00001126357.1,ENST00001134317.1	53	ENST00000361675.7,ENST00000361901.7,ENST00000393118.7,ENST00000417172.5,ENST00000422748.6,ENST00000424922.5,ENST00000430085.5,ENST00000443197.5,ENST00000482470.5,ENST00000495522.1,ENST00000866419.2,ENST00000866420.2,ENST00000866421.2,ENST00000866422.2,ENST00000866423.2,ENST00000866424.2,ENST00000866425.2,ENST00000866426.2,ENST00000866427.2,ENST00000866428.1,ENST00000927566.2,ENST00000927567.2,ENST00000927568.2,ENST00000927569.2,ENST00000927570.2,ENST00000927571.2,ENST00000927572.2,ENST00000927573.2,ENST00000972406.2,ENST00000972407.2,ENST00000972408.2,ENST00000972410.2,ENST00000972411.2,ENST00000972413.2,ENST00000972416.2,ENST00000972417.2,ENST00000972418.2,ENST00000972419.2,ENST00000972421.2,ENST00000972422.2,ENST00000972423.1,ENST00001014518.1,ENST00001014519.1,ENST00001014520.1,ENST00001014521.1,ENST00001014522.1,ENST00001014523.1,ENST00001014524.1,ENST00001014525.1,ENST00001069470.1,ENST00001069471.1,ENST00001069472.1,ENST00001134317.1	5	multiple_isoforms_differential_probe_coverage
CALM1	5	34	5	0	32	ENST00000356978.9,ENST00000447653.8,ENST00000544280.6,ENST00000553422.1,ENST00000553542.5,ENST00000553630.1,ENST00000553964.5,ENST00000553995.5,ENST00000554296.1,ENST00000555267.1,ENST00000556721.1,ENST00000556757.5,ENST00000557020.5,ENST00000659177.1,ENST00000663135.1,ENST00000971957.2,ENST00001003654.1,ENST00001003655.1,ENST00001003656.1,ENST00001003657.1,ENST00001003658.1,ENST00001041206.1,ENST00001083112.1,ENST00001083122.1,ENST00001093220.1,ENST00001093221.1,ENST00001093222.1,ENST00001093223.1,ENST00001093224.1,ENST00001121540.1,ENST00001125967.1,ENST00001134164.1	3	ENST00000356978.9,ENST00001121540.1,ENST00001134164.1	3	multiple_isoforms_differential_probe_coverage
CALM2	5	31	5	0	31	ENST00000272298.12,ENST00000409563.5,ENST00000432899.5,ENST00000456319.6,ENST00000460218.5,ENST00000482532.5,ENST00000484408.5,ENST00000489742.1,ENST00000652974.1,ENST00000655450.1,ENST00000655728.1,ENST00000656538.1,ENST00000668667.1,ENST00000670593.1,ENST00000921950.2,ENST00000946887.2,ENST00000946888.2,ENST00001005447.1,ENST00001005449.1,ENST00001012303.1,ENST00001083757.1,ENST00001083759.1,ENST00001100061.1,ENST00001100062.1,ENST00001100063.1,ENST00001100064.1,ENST00001100065.1,ENST00001100066.1,ENST00001100067.1,ENST00001128145.1,ENST00001144310.1	7	ENST00000272298.12,ENST00001005447.1,ENST00001005449.1,ENST00001012303.1,ENST00001083757.1,ENST00001083759.1,ENST00001144310.1	5	multiple_isoforms_differential_probe_coverage
CALM3	5	26	5	0	26	ENST00000291295.14,ENST00000391918.6,ENST00000477244.5,ENST00000482455.5,ENST00000486500.1,ENST00000594523.5,ENST00000595072.2,ENST00000596362.1,ENST00000597743.6,ENST00000597868.5,ENST00000598871.5,ENST00000599839.5,ENST00000602169.2,ENST00000866714.1,ENST00000866715.2,ENST00000866716.2,ENST00000866717.1,ENST00000866718.2,ENST00000952656.2,ENST00000984236.1,ENST00001043568.1,ENST00001043571.1,ENST00001067235.1,ENST00001067236.1,ENST00001099602.1,ENST00001124696.1	11	ENST00000291295.14,ENST00000486500.1,ENST00000866714.1,ENST00000866716.2,ENST00000866717.1,ENST00000866718.2,ENST00000984236.1,ENST00001043571.1,ENST00001067235.1,ENST00001067236.1,ENST00001124696.1	5	multiple_isoforms_differential_probe_coverage
CAMP	5	6	5	0	6	ENST00000296435.3,ENST00000652295.2,ENST00001102916.1,ENST00001102917.1,ENST00001102918.1,ENST00001145161.1	6	ENST00000296435.3,ENST00000652295.2,ENST00001102916.1,ENST00001102917.1,ENST00001102918.1,ENST00001145161.1	1	multiple_isoforms_same_probe_coverage
CASP3	5	36	5	0	36	ENST00000308394.9,ENST00000393585.7,ENST00000393588.9,ENST00000447121.2,ENST00000517513.6,ENST00000523916.6,ENST00000700100.2,ENST00000700101.2,ENST00000700102.1,ENST00000700103.1,ENST00000700104.1,ENST00000872339.2,ENST00000872340.2,ENST00000872341.2,ENST00000872342.1,ENST00000872343.2,ENST00000872344.2,ENST00000872345.2,ENST00000872346.2,ENST00000872347.2,ENST00000939939.2,ENST00000939940.2,ENST00000939941.2,ENST00000939942.2,ENST00000939943.2,ENST00000939944.2,ENST00000939945.2,ENST00000939946.2,ENST00000972040.2,ENST00000972041.2,ENST00000972042.2,ENST00000972043.2,ENST00000984192.1,ENST00001082170.1,ENST00001082171.1,ENST00001139592.1	33	ENST00000308394.9,ENST00000393585.7,ENST00000393588.9,ENST00000517513.6,ENST00000523916.6,ENST00000700100.2,ENST00000700101.2,ENST00000700102.1,ENST00000700103.1,ENST00000872339.2,ENST00000872340.2,ENST00000872341.2,ENST00000872342.1,ENST00000872343.2,ENST00000872344.2,ENST00000872345.2,ENST00000872346.2,ENST00000872347.2,ENST00000939939.2,ENST00000939940.2,ENST00000939941.2,ENST00000939942.2,ENST00000939943.2,ENST00000939944.2,ENST00000939945.2,ENST00000939946.2,ENST00000972040.2,ENST00000972041.2,ENST00000972042.2,ENST00000972043.2,ENST00000984192.1,ENST00001082170.1,ENST00001139592.1	3	multiple_isoforms_differential_probe_coverage
CASP8	5	49	5	0	46	ENST00000264275.10,ENST00000323492.12,ENST00000339403.6,ENST00000358485.9,ENST00000392258.7,ENST00000392263.6,ENST00000413726.7,ENST00000429881.2,ENST00000432109.6,ENST00000437283.5,ENST00000440732.6,ENST00000444430.3,ENST00000447616.6,ENST00000450491.6,ENST00000471383.5,ENST00000490412.5,ENST00000673742.1,ENST00000696067.2,ENST00000696068.1,ENST00000696069.1,ENST00000696085.2,ENST00000696087.2,ENST00000957923.2,ENST00000982603.1,ENST00000982604.1,ENST00000982605.1,ENST00000982606.1,ENST00000982607.1,ENST00001019123.1,ENST00001019124.1,ENST00001019125.1,ENST00001019126.1,ENST00001019127.1,ENST00001019128.1,ENST00001019129.1,ENST00001019130.1,ENST00001019131.1,ENST00001019132.1,ENST00001019133.1,ENST00001019134.1,ENST00001019135.1,ENST00001019136.1,ENST00001019137.1,ENST00001019138.1,ENST00001019139.1,ENST00001144802.1	36	ENST00000264275.10,ENST00000323492.12,ENST00000339403.6,ENST00000358485.9,ENST00000392258.7,ENST00000392263.6,ENST00000413726.7,ENST00000432109.6,ENST00000440732.6,ENST00000447616.6,ENST00000673742.1,ENST00000696067.2,ENST00000696068.1,ENST00000696085.2,ENST00000696087.2,ENST00000982603.1,ENST00000982604.1,ENST00000982605.1,ENST00000982606.1,ENST00000982607.1,ENST00001019123.1,ENST00001019124.1,ENST00001019125.1,ENST00001019126.1,ENST00001019127.1,ENST00001019128.1,ENST00001019129.1,ENST00001019130.1,ENST00001019131.1,ENST00001019133.1,ENST00001019134.1,ENST00001019135.1,ENST00001019137.1,ENST00001019138.1,ENST00001019139.1,ENST00001144802.1	5	multiple_isoforms_differential_probe_coverage
CASR	5	9	5	0	7	ENST00000490131.8,ENST00000498619.5,ENST00000638421.2,ENST00000639785.2,ENST00000851099.2,ENST00000851100.2,ENST00001139090.1	7	ENST00000490131.8,ENST00000498619.5,ENST00000638421.2,ENST00000639785.2,ENST00000851099.2,ENST00000851100.2,ENST00001139090.1	1	multiple_isoforms_same_probe_coverage
CAV1	5	11	5	0	11	ENST00000341049.7,ENST00000393467.2,ENST00000393468.2,ENST00000393470.2,ENST00000405348.6,ENST00000451122.5,ENST00000456473.5,ENST00000489856.1,ENST00000614113.6,ENST00000933877.2,ENST00001141379.1	7	ENST00000341049.7,ENST00000393467.2,ENST00000393468.2,ENST00000393470.2,ENST00000405348.6,ENST00000933877.2,ENST00001141379.1	3	multiple_isoforms_differential_probe_coverage
CCL11	5	2	5	0	2	ENST00000305869.4,ENST00001135862.1	2	ENST00000305869.4,ENST00001135862.1	1	multiple_isoforms_same_probe_coverage
CCL13	5	3	5	0	3	ENST00000225844.7,ENST00000577681.1,ENST00001142770.1	2	ENST00000225844.7,ENST00001142770.1	2	multiple_isoforms_differential_probe_coverage
